osu file format v128

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 0
LetterboxInBreaks: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 0.1
BeatDivisor: 2
GridSize: 4
TimelineZoom: 1.2839999198913574

[Metadata]
Title: Do the dance
TitleUnicode: 빌려온 고양이
Artist: ILLIT
ArtistUnicode: ILLIT
Creator: NoSleepPatient
Version: EZPZ

[Difficulty]
HPDrainRate: 5
CircleSize: 10
OverallDifficulty: 5
ApproachRate: 5
SliderMultiplier: 1.3999999687075613
SliderTickRate: 1

[Events]

[TimingPoints]
16818,461.5384615384613,4,1,0,100,1,0

[Colours]
Combo1: 255,192,0,255
Combo2: 0,202,0,255
Combo3: 18,124,255,255
Combo4: 242,24,57,255

[HitObjects]
62,196,16818,5,0,1:0:0:0:
188,198,17279,1,0,1:0:0:0:
324,198,17741,1,0,1:0:0:0:
446,200,18202,1,0,1:0:0:0:
324,202,18664,1,0,1:0:0:0:
185,200,19125,1,0,1:0:0:0:
55,198,19587,1,0,1:0:0:0:
313,200,20048,1,0,1:0:0:0:
186,201,20510,1,0,1:0:0:0:
446,199,20971,1,0,1:0:0:0:
193,190,21433,1,0,1:0:0:0:
319,192,21894,1,0,1:0:0:0:
53,193,22356,1,0,1:0:0:0:
319,192,22817,1,0,1:0:0:0:
449,195,23279,1,0,1:0:0:0:
444,64,24202,5,0,1:0:0:0:
321,71,24664,1,0,1:0:0:0:
194,71,25125,1,0,1:0:0:0:
62,72,25587,1,0,1:0:0:0:
186,74,26048,1,0,1:0:0:0:
316,79,26510,1,0,1:0:0:0:
438,80,26971,1,0,1:0:0:0:
178,73,27433,1,0,1:0:0:0:
323,74,27894,1,0,1:0:0:0:
49,75,28356,1,0,1:0:0:0:
62,325,29279,1,0,1:0:0:0:
333,326,29741,1,0,1:0:0:0:
173,327,30202,1,0,1:0:0:0:
442,336,30664,1,0,1:0:0:0:
190,197,31587,5,0,1:0:0:0:
325,194,32048,1,0,1:0:0:0:
432,194,32202,1,0,1:0:0:0:
325,194,32356,1,0,1:0:0:0:
62,325,33433,1,0,1:0:0:0:
314,318,33894,1,0,1:0:0:0:
430,312,34048,1,0,1:0:0:0:
314,318,34202,1,0,1:0:0:0:
184,193,35279,1,0,1:0:0:0:
314,69,35741,1,0,1:0:0:0:
